සිත් ,,,,ඵස්ස,වේදනා,සංඥා,චේතනා,ඒකග්ඝතා,ජිවිතින්ද්‍රිය,මනසිකාරය,විතක්ක,විචාර,අධිමොක්ඛා,වීරිය,පීතී,ඡන්ද,මෝහ,අහිරික,අනොත්තප්ප,උද්ධච්ච,ලෝභ,දිට්ඨි,මාන,දෝස,ඉස්සා,මච්ජරිය,කුක්කුච්ච,ථීන,මිද්ධ,විචිකිච්ජා,සද්ධා,සති,හිරි,ඔත්තප්ප,අලොභ,අදොස,තත්‍රමජ්ජත්තතා,කාය පස්සද්ධි,චිත්ත පස්සද්ධි,කාය ලහුතා,චිත්ත ලහුතා,කාය මුදුතා,චිත්ත මුදුතා,කාය කම්මගතා,චිත්ත කම්මගතා,කාය පාගුඤ්ඤතා,චිත්ත පාගුඤ්ඤතා,කායුජුකතා,චිත්තයුජුක්තා,සම්මා වචා,සම්මා කම්මන්ත,සම්මා ආජීවෝ,කරුණා,මුදිතා,පඤ්ඤා 
උපේක්ෂා  සහගත,ඤාණ විප්පයුක්ත,අසංඛාරික ,කුසල් සිත,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
උපේක්ෂා  සහගත,ඤාණ විප්පයුක්ත,සසංඛාරික ,කුසල් සිත,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
සෝමනස්ස සහගත,ඤාණ සම්පයුක්ත,අසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
සෝමනස්ස සහගත,ඤාණ සම්පයුක්ත,සසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
සෝමනස්ස සහගත,ඤාණ විප්පයුක්ත,අසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
සෝමනස්ස සහගත,ඤාණ විප්පයුක්ත,සසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
උපේක්ෂා  සහගත,ඤාණ සම්පයුක්ත,අසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
උපේක්ෂා  සහගත,ඤාණ සම්පයුක්ත,සසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
උපේක්ෂා  සහගත,ඤාණ විප්පයුක්ත,අසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
උපේක්ෂා  සහගත,ඤාණ විප්පයුක්ත,සසංඛාරික ,ක්‍රියා  සිත,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
